TargetID1,TargetID2
Q16539,Q9NYL2
Q92769,Q9NYL2
P31749,Q16539
P36897,Q16539
Q13315,Q16539
O15379,Q16539
P00533,Q06203
P00533,Q9BY41
P53350,Q92769
P09874,Q92769
P15056,Q92769
O14965,Q92769
Q13547,Q92769
O60885,Q92769
P11142,Q92769
Q92934,Q92769
O14757,Q9UBN7
P00533,Q9UBN7
P04626,Q9UBN7
P21860,Q9UBN7
P53350,Q9UBN7
P31749,Q9UBN7
P27361,Q9UBN7
P06493,Q9UBN7
O14965,Q9UBN7
P07437,Q9UBN7
P10636,Q9UBN7
Q15303,Q9UBN7
P15056,P53667
Q16539,P53667
P00533,Q15303
P04626,Q15303
P21860,Q15303
P00519,Q15303
P42684,Q15303
P06241,Q15303
Q9UBN7,Q15303
P09874,Q9Y6F1
Q92934,Q92843
O14757,Q92934
P10415,Q92934
P31749,Q92934
P15056,Q92934
P04049,Q92934
P53667,Q92934
Q92843,Q92934
Q15059,P29372
